# HotWire artifact -- Attack A2 (forced PreCharge / V2L) sustained-discharge evidence
# Vehicle: LUXGEN N7 (production unit, lab bench).
# Source: decoded from the recorded DIN 70121 trace of the full sustained-discharge session.
# Duration: ~100 minutes of continuous CurrentDemand activity (supports the >=60 min / ~1.25 kWh claim in Sec. 6).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. This file contains
#          only protocol-reported electrical fields and relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
#       EVSEPresentCurrent is a fixed protocol value emitted by the rogue EVSE, not a measured current.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
41.669,,,413.6
41.735,0,200,
41.903,,,413.6
41.969,0,200,
42.069,,,413.6
42.115,0,200,
42.168,,,413.6
42.227,0,200,
42.268,,,413.6
42.322,0,200,
42.372,,,413.6
42.437,0,200,
42.569,,,413.6
42.638,0,200,
42.703,,,413.6
42.770,0,200,
42.869,,,413.6
42.936,0,200,
43.068,,,413.6
43.126,0,200,
43.201,,,413.6
43.263,0,200,
43.305,,,413.6
43.378,0,200,
43.469,,,413.6
43.533,0,200,
43.670,,,413.6
43.734,0,200,
43.867,,,413.6
43.933,0,200,
44.102,,,413.6
44.176,0,200,
44.300,,,413.6
44.388,0,200,
44.468,,,413.6
44.533,0,200,
44.667,,,413.6
44.723,0,200,
44.767,,,413.6
44.829,0,200,
44.867,,,413.6
44.912,0,200,
44.969,,,413.6
45.023,0,200,
45.067,,,413.6
45.125,0,200,
45.167,,,413.6
45.231,0,200,
45.368,,,413.6
45.419,0,200,
45.467,,,413.6
45.528,0,200,
45.672,,,413.6
45.733,0,200,
45.871,,,413.6
45.916,0,200,
45.968,,,413.6
46.040,0,200,
46.168,,,413.6
46.231,0,200,
46.368,,,413.6
46.455,0,200,
46.569,,,413.6
46.645,0,200,
46.703,,,413.6
46.766,0,200,
46.808,,,413.6
46.873,0,200,
46.968,,,413.6
47.031,0,200,
47.102,,,413.6
47.148,0,200,
47.205,,,413.6
47.264,0,200,
47.368,,,413.6
47.476,0,200,
47.569,,,413.6
47.668,0,200,
47.768,,,413.6
47.834,0,200,
47.970,,,413.6
48.031,0,200,
48.168,,,413.6
48.221,0,200,
48.268,,,413.6
48.321,0,200,
48.368,,,413.6
48.427,0,200,
48.569,,,413.6
48.635,0,200,
48.768,,,413.6
48.833,0,200,
48.969,,,413.6
49.015,0,200,
